Date,PceID,PBlokID,PceStrtTime,PceEndTime,PceDuration,Reason,Comment,TrpNo,TrpInternalNo,TrpRoute,TrpDirection,TrpType,TrpStrtPlace, TrpSrtTime,TrpEndTime,TrpEndPlace,TrpBlock,Trp_duration,TrpDistance,TrpDutyNo,TrpPceNo, DutyType,ATMSDtyNum,ATMSBlkNum,hour,costcenter,Division,Exporttime,PermTripNumber 
11/05/2021, 16 -004, 16 -  4,0605,1055,  4h50   ,CT      ,, 1077786,   54391100,,,Pull-out,Division 1,0605,0610,5th / Wall, 16 -  4,                   5,     1.050, 16 -004,        ,EB,016004, 0160402,06 ,3201,01,2021-11-05_16:05;59.1,10000000000605
11/05/2021, 16 -004, 16 -  4,0605,1055,  4h50   ,CT      ,,  100910,   53997133,   16,West,Regular,5th / Wall,0610,0655,Division 7 Layover, 16 -  4,                  45,     9.631, 16 -004,        ,EB,016004, 0160402,06 ,3201,01,2021-11-05_16:05;59.1,10016004140610
11/05/2021, 16 -004, 16 -  4,0605,1055,  4h50   ,CT      ,,  102400,   53996902,   16,East,Regular,Division 7 Layover,0711,0811,Maple Lot, 16 -  4,                  60,    11.115, 16 -004,        ,EB,016004, 0160402,07 ,3201,01,2021-11-05_16:05;59.2,10016004170711
11/05/2021, 16 -004, 16 -  4,0605,1055,  4h50   ,CT      ,,  103310,   53997089,   16,West,Regular,Maple Lot,0826,0925,Division 7 Layover, 16 -  4,                  59,    10.126, 16 -004,        ,EB,016004, 0160402,08 ,3201,01,2021-11-05_16:05;59.2,10016004120826
11/05/2021, 16 -004, 16 -  4,0605,1055,  4h50   ,CT      ,,  104800,   53996936,   16,East,Regular,Division 7 Layover,0944,1053,Maple Lot, 16 -  4,                  69,    11.115, 16 -004,        ,EB,016004, 0160402,09 ,3201,01,2021-11-05_16:05;59.2,10016004170944
11/05/2021, 16 -006, 16 -  7,1006,1248,  2h42   ,CT      ,,  104710,   53996927,   16,West,Regular,Maple Lot,1010,1114,Division 7 Layover, 16 -  7,                  64,    10.126, 16 -006,        ,EB,016006, 0160700,10 ,3201,01,2021-11-05_16:05;59.6,10016004121010
11/05/2021, 16 -006, 16 -  7,1006,1248,  2h42   ,CT      ,,  106300,   53996977,   16,East,Regular,Division 7 Layover,1135,1246,Maple Lot, 16 -  7,                  71,    11.115, 16 -006,        ,EB,016006, 0160700,11 ,3201,01,2021-11-05_16:05;59.6,10016004171135
11/05/2021, 16 -011, 16 -  1,1412,2236,  8h24   ,CT      ,,  108210,   53997115,   16,West,Regular,Maple Lot,1430,1539,Division 7 Layover, 16 -  1,                  69,    10.126, 16 -011,        ,A,016011, 0160101,14 ,3201,01,2021-11-05_16:05;55,10016004121430
11/05/2021, 16 -011, 16 -  1,1412,2236,  8h24   ,CT      ,,  110300,   53996938,   16,East,Regular,Division 7 Layover,1554,1713,Maple Lot, 16 -  1,                  79,    11.115, 16 -011,        ,A,016011, 0160101,15 ,3201,01,2021-11-05_16:05;55.1,10016004171554
11/05/2021, 16 -011, 16 -  1,1412,2236,  8h24   ,CT      ,,  111110,   53997138,   16,West,Regular,Maple Lot,1728,1832,Division 7 Layover, 16 -  1,                  64,    10.126, 16 -011,        ,A,016011, 0160101,17 ,3201,01,2021-11-05_16:05;55.1,10016004121728
11/05/2021, 16 -011, 16 -  1,1412,2236,  8h24   ,CT      ,,  113100,   53997176,   16,East,Regular,Division 7 Layover,1850,2002,Maple Lot, 16 -  1,                  72,    11.115, 16 -011,        ,A,016011, 0160101,18 ,3201,01,2021-11-05_16:05;55.2,10016004171850
11/05/2021, 16 -011, 16 -  1,1412,2236,  8h24   ,CT      ,,  113010,   53996913,   16,West,Regular,Maple Lot,2024,2117,Division 7 Layover, 16 -  1,                  53,    10.126, 16 -011,        ,A,016011, 0160101,20 ,3201,01,2021-11-05_16:05;55.2,10016004122024
